date,Close,MA5,MA20,signal,trade
2024-08-05,163.33,167.448,168.8785,0,-1
2024-08-23,168.13,163.346,162.7415,1,1
2024-11-01,232.53,235.97600000000003,237.24699999999999,0,-1
2024-11-05,247.72,236.89000000000001,235.33200000000002,1,1
2024-11-27,246.23,247.946,248.92600000000002,0,-1
2024-12-11,253.43,251.984,250.08200000000002,1,1
2024-12-26,247.58,251.06199999999998,252.2855,0,-1
2025-01-22,244.33,244.156,242.7395,1,1
2025-03-06,251.87,252.786,253.7165,0,-1
2025-04-24,228.96,221.82399999999998,221.15499999999997,1,1
2025-05-30,242.09,245.158,246.70350000000002,0,-1
2025-06-27,243.08,240.93200000000002,239.83350000000002,1,1
2025-08-04,258.57,264.706,266.37399999999997,0,-1
2025-08-18,275.09,268.17199999999997,266.70799999999997,1,1
2025-10-16,361.59,363.53999999999996,364.142,0,-1
2025-10-27,379.27,372.52200000000005,371.8245,1,1
2025-11-20,372.48,383.168,383.71650000000005,0,-1
2025-12-08,385.59,377.31,376.6985,1,1
2025-12-19,367.09,371.756,373.5045,0,-1
2026-02-05,356.03,348.062,344.553,1,1
2026-03-02,333.31,343.562,348.223,0,-1
2026-03-11,389.89,360.21399999999994,353.6415,1,1
2026-04-07,377.68,389.01599999999996,393.221,0,-1
2026-04-14,423.88,404.132,397.2815,1,1
2026-05-14,427.0,435.082,437.468,0,-1
2026-06-03,426.42,424.01800000000003,423.18050000000005,1,1
2026-06-05,403.0,418.322,419.3085,0,-1
